Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.666625826,1.77857024,-0.291621459,-2.775529574,2.531920616,1.601454672,2.224030854,1.67733153,2.569193594,2.861587025,1.485279193
United States,USA,GDP per capita,NY.GDP.PCAP.KD,49575.40101,49979.53384,49364.64455,47575.60856,48375.40695,48786.45498,49498.39092,49971.95136,50871.67408,51933.40481,52319.16335
United States,USA,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,50598.94836,51011.42503,50383.84056,48557.86764,49374.17889,49793.71352,50520.34829,51003.68599,51921.98464,53005.63615,53399.35917
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.455999651,2.35670823,-0.472540317,-4.187759438,1.69454714,1.45262397,1.481329829,2.052388508,3.054251012,2.345939517,1.93579095
United Kingdom,GBR,GDP per capita,NY.GDP.PCAP.KD,40418.7473,41050.40593,40536.13486,38545.91582,38893.01849,39150.75602,39455.41214,39996.5019,40908.74586,41536.91912,42039.73636
United Kingdom,GBR,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,37793.6185,38384.25197,37903.38193,36042.42423,36366.98318,36607.98109,36892.85031,37398.79722,38251.79248,38839.16696,39309.32708
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.15819912,1.377598148,8.228107104,3.379299094,6.402564845,7.5464712,13.93643017,7.6,0.7,4.8,11
Iraq,IRQ,GDP per capita,NY.GDP.PCAP.KD,4143.691703,4098.306627,4325.667983,4354.683627,4502.749048,4695.357216,5178.422294,5390.009586,5253.627075,5336.648287,5750.611361
Iraq,IRQ,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,11703.47332,11575.28738,12217.44846,12299.40046,12717.59753,13261.60145,14625.97401,15223.58271,14838.38295,15072.86867,16242.06902
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.420006556,1.654183881,-1.0935406,-5.416412797,4.191739259,-0.11542134,1.495089586,2.000267841,0.374719476,1.353823114,0.938193886
Japan,JPN,GDP per capita,NY.GDP.PCAP.KD,44995.49449,45687.27381,45165.78792,42724.76037,44507.67639,44538.72619,45276.87434,46249.20959,46484.15527,47163.49421,47660.89304
Japan,JPN,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,36141.58524,36697.2409,36278.36947,34317.67082,35749.75668,35774.69671,36367.59706,37148.60275,37337.31741,37882.98062,38282.50467
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,3.900574875,2.690521948,1.310040404,2.366711916
Afghanistan,AFG,GDP per capita,NY.GDP.PCAP.KD,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,633.6584113,630.320014,620.056525,617.8899723
Afghanistan,AFG,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,1161.124889,1284.775213,1298.143159,1531.173993,1614.255001,1660.739856,1839.273579,1848.700026,1838.960244,1809.016488,1802.695565
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.431012739,5.9,3.760853683,3.352610243,3.710057793,2.55016086,1.419967541,1.0007546,1.774368743,2.218752054,3.352159211
Albania,ALB,GDP per capita,NY.GDP.PCAP.KD,3383.893726,3610.727554,3775.380988,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.644432,4683.800213
Albania,ALB,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,8204.588246,8754.569513,9153.788206,9524.649303,9927.181841,10207.7647,10369.82338,10492.80628,10701.12079,10970.45224,11356.34133
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.684488319,3.372875154,2.360134861,1.632243838,3.634145353,2.891865995,3.374768651,2.767638867,3.789121212,3.763466958,3.3
Algeria,DZA,GDP per capita,NY.GDP.PCAP.KD,4282.328231,4359.375748,4390.499633,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242,4827.724251
Algeria,DZA,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,12348.48121,12570.6547,12660.40324,12647.5403,12870.6027,12990.34502,13161.96167,13253.61548,13483.33786,13724.72385,13921.18002
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.248049922,-2.619414484
American Samoa,ASM,GDP per capita,NY.GDP.PCAP.KD,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487,9884.111866,9614.472672
American Samoa,ASM,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.536353119,0.040011067,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387
Andorra,AND,GDP per capita,NY.GDP.PCAP.KD,49708.40049,48710.66462,43900.9517,41979.8659,39736.35406,38205.77109,38190.58659,39104.30185,40785.04923,41765.92035,42958.55839
Andorra,AND,"GDP per capita, PPP",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..
